,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
291,Beyneu,100,KZ,1584038259,39,45.32,55.2,51.98000000000002,1.97
292,Salò,75,IT,1584038260,82,45.61,10.53,57.19999999999999,2.6
293,Guarapuava,58,BR,1584038261,33,-25.4,-51.46,85.28000000000003,2.37
294,Basco,14,PH,1584038182,85,20.45,121.97,78.44,8.08
295,Codrington,90,AU,1584038092,64,-38.27,141.97,68.36000000000007,8.1
296,Tilichiki,100,RU,1584038265,86,60.47,166.1,26.06000000000006,11.48
297,Barra Patuca,23,HN,1584038267,71,15.8,-84.28,78.44,5.67
298,Ust-Tsilma,100,RU,1584038268,99,65.44,52.15,35.23999999999995,3.1
299,Vardø,90,NO,1584038031,92,70.37,31.11,30.199999999999932,5.1
300,Acton Vale,1,CA,1584038271,63,45.65,-72.57,42.00799999999998,5.7
301,Semīrom,27,IR,1584038272,37,31.42,51.57,43.160000000000025,0.53
302,Cayenne,40,GF,1584038273,52,4.93,-52.33,87.80000000000001,4.1
303,Margate,20,GB,1584038108,65,51.38,1.39,46.99400000000003,8.2
304,Padang,76,ID,1584038216,96,-0.95,100.35,68.71999999999997,1.53
305,Sinnamary,28,GF,1584038121,71,5.38,-52.95,79.88000000000005,5.62
306,Dromolaxia,40,CY,1584038278,68,34.88,33.59,67.99999999999994,9.8
307,Katrineholm,40,SE,1584038279,72,59.0,16.21,39.19999999999993,11.3
308,Saint-Pierre,40,RE,1584038280,94,-21.34,55.48,80.59999999999997,2.1
309,San Patricio,40,MX,1584038281,79,19.22,-104.7,85.99999999999994,4.1
310,Kawalu,99,ID,1584038282,92,-7.38,108.21,71.42000000000002,0.48
311,Ust-Maya,98,RU,1584038284,99,60.42,134.53,-23.439999999999998,1.18
312,San Miguel de Tucumán,40,AR,1584038285,52,-26.82,-65.22,89.59999999999997,4.1
313,Christchurch,0,NZ,1584038132,87,-43.53,172.63,55.994000000000085,1.5
314,Ayan,97,RU,1584038288,71,56.45,138.17,-9.579999999999984,4.69
315,Flinders,7,AU,1584038289,93,-34.58,150.86,58.99999999999994,4.67
316,Xichang,0,CN,1584038290,76,27.9,102.26,40.27999999999997,1.59
317,Araouane,10,ML,1584038101,5,18.9,-3.53,82.57999999999998,2.27
318,Touros,75,BR,1584038293,83,-5.2,-35.46,80.59999999999997,3.1
319,Khandyga,99,RU,1584038294,99,62.67,135.6,-23.079999999999984,1.08
320,Calvià,100,ES,1584038295,36,39.57,2.51,64.39999999999992,1.0
321,Along,10,IN,1584038296,88,28.17,94.77,56.12000000000006,1.85
322,Sitka,40,US,1584038043,80,57.05,-135.33,30.199999999999932,2.1
323,Kaniama,100,CD,1584038298,93,-7.57,24.18,67.82,0.85
324,Nanortalik,0,GL,1584038299,76,60.14,-45.24,25.339999999999975,5.26
325,Los Llanos de Aridane,75,ES,1584038176,72,28.66,-17.92,71.99600000000004,5.7
326,Seoul,75,KR,1584037782,65,37.57,126.98,44.599999999999966,2.1
327,Aku,75,NG,1584038303,56,6.71,7.32,93.19999999999999,2.6
328,Ritchie,100,ZA,1584038304,93,-29.04,24.6,60.80000000000001,2.1
329,Port Jervis,90,US,1584038161,57,41.38,-74.69,49.99999999999994,2.6
330,Aden,52,YE,1584038205,56,12.78,45.04,76.99999999999994,8.05
331,Tocopilla,10,CL,1584038307,35,-22.09,-70.2,78.44,4.59
332,Gunnedah,0,AU,1584038308,87,-30.98,150.25,53.599999999999966,4.1
333,General Roca,96,AR,1584038310,27,-39.03,-67.58,85.99999999999994,2.6
334,Mackay,90,AU,1584038311,88,-21.15,149.2,75.00200000000001,6.7
335,Evensk,100,RU,1584038312,84,61.95,159.23,6.7999999999999545,7.11
336,Poum,86,NC,1584038108,82,-20.23,164.02,81.86000000000007,6.13
337,Inírida,70,CO,1584038314,44,3.87,-67.92,96.44,0.86
338,Bertoua,96,CM,1584038129,29,4.58,13.68,86.18,1.32
339,Bayanday,100,RU,1584038307,96,53.07,105.51,16.879999999999995,3.9
340,Moses Lake,1,US,1584038271,36,47.13,-119.28,46.99400000000003,2.6
341,Yagodnoye,100,RU,1584038320,98,62.55,149.67,-11.199999999999989,2.26
342,La Bañeza,20,ES,1584038321,62,42.3,-5.9,62.00600000000003,3.1
343,Magdagachi,0,RU,1584038322,84,53.45,125.8,-14.620000000000005,2.63
344,Lipin Bor,98,RU,1584038323,96,60.26,37.98,33.799999999999955,5.36
345,Havre-St-Pierre,20,CA,1584038324,53,50.23,-63.6,22.999999999999943,6.7
346,Buchanan,75,LR,1584038326,74,5.88,-10.05,87.80000000000001,4.1
347,Kargasok,100,RU,1584038327,97,59.06,80.86,33.98000000000002,5.66
348,Buy,96,RU,1584038328,80,58.48,41.53,36.139999999999986,5.86
349,Hamilton,75,US,1584038329,55,39.18,-84.53,66.00200000000001,2.6
350,Fort-Shevchenko,62,KZ,1584038330,70,44.51,50.26,50.89999999999998,3.23
351,Mizdah,0,LY,1584038331,48,31.45,12.98,56.660000000000025,3.67
352,Deputatsky,0,RU,1584038078,86,69.3,139.9,-28.840000000000032,0.75
353,Aras,75,ES,1584038334,87,42.56,-2.36,53.00600000000003,3.1
354,Chara,98,RU,1584038335,74,56.91,118.26,-10.479999999999961,1.94
355,Ta Khmau,20,KH,1584038336,78,11.48,104.95,82.39999999999992,3.6
356,Mar del Plata,1,AR,1584038337,73,-38.0,-57.56,75.19999999999999,5.1
357,Lagoa,0,PT,1584038081,65,39.05,-27.98,58.99999999999994,4.93
358,Saskylakh,100,RU,1584038072,98,71.92,114.08,-3.1000000000000227,3.56
359,Carutapera,52,BR,1584037904,70,-1.2,-46.02,82.57999999999998,2.56
360,Kiryat Gat,75,IL,1584038169,34,31.61,34.76,78.80000000000001,15.9
361,Camabatela,14,AO,1584038343,82,-8.19,15.38,66.92000000000002,1.74
362,Nkawkaw,82,GH,1584038344,77,6.55,-0.77,80.9600000000001,2.31
363,North Battleford,1,CA,1584038057,72,52.78,-108.28,17.599999999999966,7.2
364,Yining,48,CN,1584038346,94,29.04,114.56,50.539999999999964,0.33
365,Sibu,75,MY,1584038347,94,2.3,111.82,78.80000000000001,0.23
366,Ugoofaaru,1,MV,1584038348,72,5.67,73.0,83.30000000000001,5.05
367,Vallenar,0,CL,1584038349,43,-28.57,-70.76,76.63999999999993,5.34
368,Muzaffarpur,40,IN,1584038350,100,26.12,85.4,71.59999999999997,3.09
369,Caravelas,93,BR,1584038058,72,-17.71,-39.25,80.06,2.91
370,Aksay,0,RU,1584038354,70,47.26,39.87,44.599999999999966,5.0
371,Arica,6,CL,1584038272,69,-18.48,-70.3,80.59999999999997,9.3
372,Porto-Novo,40,BJ,1584038356,89,6.5,2.6,84.19999999999999,5.1
373,Boguchany,100,RU,1584038357,93,58.38,97.45,25.699999999999932,3.96
374,Namatanai,99,PG,1584038322,75,-3.67,152.43,83.47999999999996,5.92
375,Barguzin,99,RU,1584038361,94,53.62,109.62,18.680000000000007,3.81
376,Bandarbeyla,53,SO,1584038362,77,9.49,50.81,78.62000000000006,8.41
377,Ocara,51,BR,1584038363,77,-4.49,-38.6,84.56,1.67
378,French Harbor,75,HN,1584038364,69,16.35,-86.43,80.59999999999997,5.1
379,Cabinda,75,AO,1584038365,70,-5.55,12.2,87.80000000000001,3.1
380,Bambous Virieux,75,MU,1584038366,94,-20.34,57.76,78.99799999999999,3.1
381,Saint-Joseph,40,RE,1584038367,94,-21.37,55.62,80.59999999999997,2.1
382,La Ronge,90,CA,1584038369,65,55.1,-105.28,8.599999999999966,6.2
383,City of San Pedro,20,PH,1584038082,78,14.35,121.02,80.59999999999997,1.5
384,Ilulissat,75,GL,1584038371,71,69.22,-51.1,6.7999999999999545,2.1
385,Podgornoye,64,RU,1584038372,68,51.73,39.15,44.599999999999966,5.0
386,Umeå,90,SE,1584038308,93,63.83,20.26,31.999999999999943,1.99
387,Shenzhen,20,CN,1584038365,88,22.55,114.07,75.00200000000001,3.0
388,Salalah,16,OM,1584038375,65,17.02,54.09,76.99999999999994,2.1
389,Tazovsky,95,RU,1584038376,92,67.47,78.7,6.439999999999998,9.53
390,Yangjiang,89,CN,1584038378,75,21.85,111.97,71.99600000000004,2.42
391,Fasano,0,IT,1584038379,54,40.83,17.36,60.00799999999998,2.1
392,Athabasca,100,CA,1584038097,85,54.72,-113.29,18.860000000000014,4.62
393,Saint George,1,US,1584038381,67,37.1,-113.58,62.00600000000003,1.5
394,Mehtar Lām,75,AF,1584038382,81,34.67,70.21,48.19999999999993,2.06
395,Kiomboi,100,TZ,1584038383,92,-4.27,34.37,65.66000000000003,2.18
396,Belyy Yar,100,RU,1584038384,50,53.6,91.39,33.799999999999955,3.0
397,Constitución,16,CL,1584038385,66,-35.33,-72.42,67.4600000000001,3.29
398,Eyl,99,SO,1584038387,79,7.98,49.82,79.16000000000003,10.75
399,Maromitsa,100,RU,1584038388,92,59.87,48.01,35.77999999999997,5.24
400,Chapais,90,CA,1584038389,67,49.78,-74.85,21.199999999999932,4.6
401,Walvis Bay,0,NA,1584038390,68,-22.96,14.51,69.80000000000001,5.1
402,Sept-Îles,20,CA,1584038253,38,50.2,-66.38,22.999999999999943,4.6
403,Vila Franca do Campo,75,PT,1584038392,82,37.72,-25.43,60.80000000000001,4.1
404,Rodeo,1,US,1584038393,76,38.03,-122.27,71.99600000000004,2.1
405,Táborfalva,15,HU,1584038395,51,47.1,19.48,62.599999999999966,2.1
406,Villazón,29,BO,1584038396,40,-22.09,-65.59,65.66000000000003,5.2
407,Sibolga,97,ID,1584038398,97,1.74,98.78,72.49999999999994,1.28
408,Isangel,76,VU,1584038399,81,-19.55,169.27,78.07999999999998,2.52
409,Vao,95,NC,1584038400,78,-22.67,167.48,80.06,3.76
410,Paraná,24,AR,1584038322,25,-31.73,-60.52,100.76000000000005,2.68
411,Bălţăteşti,50,RO,1584038402,62,47.12,26.3,53.99600000000004,2.6
412,Moerai,68,PF,1584038404,76,-22.43,-151.33,80.42000000000002,5.09
413,Rodolfo Sánchez Taboada,64,MX,1584038405,85,31.72,-116.57,62.99600000000004,1.5
414,Cacoal,44,BR,1584038406,63,-11.44,-61.45,89.42000000000002,1.35
415,Macapá,75,BR,1584038407,66,0.04,-51.07,85.99999999999994,2.1
416,Muros,75,ES,1584038408,81,42.78,-9.06,57.991999999999905,5.7
417,Beckley,1,US,1584038115,40,37.78,-81.19,71.59999999999997,4.35
418,Adrar,52,MR,1584038286,6,20.5,-10.07,83.66000000000003,2.89
419,Emerald,9,AU,1584038412,82,-23.53,148.17,67.99999999999994,6.7
420,Tura,0,IN,1584038413,44,25.52,90.22,73.94,1.5
421,Thornaby,40,GB,1584038414,75,54.53,-1.3,44.99599999999998,11.8
422,Trogir,33,HR,1584038415,71,43.51,16.25,55.39999999999992,3.1
423,Alpinópolis,4,BR,1584038416,62,-20.86,-46.39,77.89999999999992,2.38
424,Payo,84,ID,1584038417,96,-3.75,103.64,68.18,1.52
425,Krasnosel'kup,97,RU,1584038418,93,65.7,82.47,16.160000000000025,8.67
426,Norman Wells,75,CA,1584038254,75,65.28,-126.83,-16.600000000000023,1.0
427,Ixtapa,90,MX,1584038421,78,20.7,-105.2,80.00600000000003,4.1
428,Formosa,75,AR,1584038422,20,-26.18,-58.18,103.99999999999994,5.1
429,Kālāvad,0,IN,1584038424,67,22.22,70.38,62.06,3.91
430,Poya,96,NC,1584038425,79,-21.35,165.15,80.42000000000002,2.27
431,Guangyuan,81,CN,1584038426,73,32.44,105.82,55.00399999999996,3.2
432,Umluj,39,SA,1584038427,35,25.02,37.27,84.38000000000005,15.44
433,Arlit,96,NE,1584038428,13,18.74,7.39,76.09999999999997,4.92
434,Meulaboh,100,ID,1584038430,74,4.14,96.13,84.38000000000005,2.35
435,Brae,75,GB,1584038431,93,60.4,-1.35,40.99999999999994,15.9
436,Mount Gambier,75,AU,1584038217,38,-37.83,140.77,75.19999999999999,7.7
437,Altay,0,CN,1584038286,25,47.87,88.12,12.739999999999952,2.28
438,Ambulu,81,ID,1584038434,82,-8.35,113.61,80.78000000000003,2.74
439,Taksimo,100,RU,1584038435,98,56.34,114.88,-6.340000000000032,0.23
440,Mehrabpur,11,PK,1584038436,27,28.11,68.03,64.39999999999992,2.18
441,Santa Cruz de la Sierra,75,BO,1584038438,49,-17.8,-63.17,93.19999999999999,5.1
442,Mil'kovo,20,RU,1584038439,77,54.72,158.62,12.379999999999995,4.8
443,Bubaque,4,GW,1584038440,70,11.28,-15.83,81.68,8.4
444,Rosarito,90,MX,1584038442,87,32.33,-117.03,60.80000000000001,3.1
445,Plouzané,48,FR,1584038199,65,48.38,-4.62,46.39999999999998,5.1
446,Conflans-Sainte-Honorine,85,FR,1584038446,57,49.0,2.1,53.00600000000003,4.1
447,Dondo,20,MZ,1584038447,88,-19.61,34.74,80.59999999999997,4.1
448,Woodstock,90,CA,1584038378,80,43.13,-80.75,42.99799999999999,3.6
449,Qaqortoq,20,GL,1584038449,46,60.72,-46.03,28.399999999999977,2.1
450,Pakokku,0,MM,1584038450,27,21.33,95.1,78.80000000000001,1.94
451,Atar,43,MR,1584038451,18,20.52,-13.05,93.19999999999999,3.1
452,Luján,17,AR,1584038452,66,-34.57,-59.1,89.99600000000004,3.1
453,Province of Trapani,0,IT,1584038454,82,37.83,12.67,58.99999999999994,3.1
454,Tongren,51,CN,1584038456,87,27.72,109.19,56.12000000000006,1.29
455,Mardin,75,TR,1584038457,42,37.31,40.74,67.99999999999994,8.2
456,Dekar,15,BW,1584038458,53,-21.53,21.93,75.02000000000004,2.62
457,Muli,50,MV,1584038310,72,2.92,73.57,83.30000000000001,5.61
458,Limbang,75,MY,1584038461,94,4.75,115.0,80.59999999999997,0.5
459,Atambua,100,ID,1584038463,88,-9.11,124.89,75.19999999999999,0.68
460,Tshela,93,CD,1584038464,90,-4.98,12.93,75.19999999999999,0.53
461,Sochi,52,RU,1584038341,87,43.6,39.73,48.19999999999993,3.0
462,Kumul,0,CN,1584038466,25,42.8,93.45,31.460000000000036,2.6
463,Sémbé,85,CG,1584038467,95,1.65,14.58,71.59999999999997,2.1
464,Shebunino,100,RU,1584038468,98,46.43,141.86,32.360000000000014,5.04
465,Jega,32,NG,1584038469,7,12.22,4.38,88.88000000000005,4.44
466,Zabul Province,43,AF,1584038471,82,32.25,67.25,35.420000000000016,0.79
467,Luleå,75,SE,1584038472,97,65.58,22.15,33.799999999999955,0.5
468,Sawang Daen Din,0,TH,1584038473,33,17.48,103.46,85.63999999999993,1.52
469,Kuusamo,90,FI,1584038475,92,65.97,29.18,30.199999999999932,4.1
470,Tuma,67,RU,1584038476,60,55.15,40.55,42.00799999999998,3.13
471,Honiara,90,SB,1584038477,88,-9.43,159.95,76.99999999999994,3.6
472,Yuxia,55,CN,1584038480,42,34.06,108.63,48.19999999999993,3.0
473,Japura,44,ID,1584038481,95,-0.32,102.35,73.76000000000005,0.51
474,Gladstone,11,AU,1584038482,60,-23.85,151.25,73.39999999999992,6.7
475,Ignacio Zaragoza,100,MX,1584038483,52,28.38,-107.22,64.00399999999996,6.26
476,Husavik,75,IS,1584038484,67,66.04,-17.34,21.199999999999932,3.6
477,Souillac,75,MU,1584038485,94,-20.52,57.52,78.99799999999999,3.1
478,Worcester,90,US,1584038487,56,42.33,-71.83,49.99999999999994,1.5
479,Batagay,0,RU,1584038308,97,67.63,134.63,-25.060000000000002,1.42
480,Pimentel,40,PE,1584038489,29,-6.84,-79.93,66.19999999999999,5.7
481,Mikhaylovka,44,RU,1584038490,70,50.06,43.24,43.52000000000004,5.27
482,Itaqui,20,BR,1584038491,20,-29.13,-56.55,102.56,3.48
483,Vanavara,18,RU,1584038492,88,60.34,102.28,12.739999999999952,3.61
484,Azul,26,AR,1584038259,32,-36.78,-59.86,85.99999999999994,1.33
485,Tortolì,40,IT,1584038494,100,39.93,9.66,57.19999999999999,2.1
486,Ballina,75,AU,1584038496,82,-28.87,153.57,67.99999999999994,4.1
487,Boa Esperança,2,BR,1584038497,61,-21.09,-45.57,78.80000000000001,1.85
488,Krutikha,50,RU,1584038498,94,53.96,81.21,17.960000000000036,2.92
489,Wufeng,80,CN,1584038499,78,27.45,104.83,48.19999999999993,2.63
490,Aykhal,90,RU,1584038500,76,66.0,111.5,-11.199999999999989,8.0
491,Pueblo,1,US,1584038501,19,38.25,-104.61,69.80000000000001,6.2
492,Bhatkal,0,IN,1584038502,82,13.97,74.57,78.26000000000005,5.12
493,Kirovskiy,71,RU,1584038503,74,45.09,133.51,13.099999999999966,5.6
494,Morton,75,US,1584038505,47,46.77,-101.26,35.599999999999966,12.9
495,Chepareria,97,KE,1584038506,42,1.31,35.2,78.44,5.39
496,Eidsvåg,75,NO,1584038507,64,62.78,8.07,37.39999999999998,15.4
497,Sīrjān,0,IR,1584038508,14,29.45,55.68,55.21999999999997,3.26
498,San Cristobal,40,VE,1584038509,55,7.77,-72.22,85.99999999999994,4.6
499,Kota Bharu,20,MY,1584038510,94,6.13,102.24,76.99999999999994,0.5
500,Lethem,24,GY,1584038511,25,3.38,-59.8,101.30000000000001,3.48
501,Altus,1,US,1584038214,41,34.64,-99.33,82.39999999999992,2.1
502,Genhe,0,CN,1584038514,89,50.78,121.52,-10.479999999999961,1.81
503,Freeport,90,US,1584038347,70,40.66,-73.58,48.99199999999996,4.1
504,Esim,99,GH,1584038516,79,4.87,-2.24,82.76000000000005,2.67
505,Sarab,54,IR,1584038517,38,38.61,44.99,54.13999999999993,1.97
506,Tignère,100,CM,1584038255,15,7.37,12.65,77.54000000000002,0.69
507,Marovoay,20,MG,1584038519,89,-16.1,46.63,84.19999999999999,1.5
508,Kahului,40,US,1584038223,83,20.89,-156.47,71.59999999999997,3.1
509,Asău,6,RO,1584038522,66,46.43,26.4,53.99600000000004,4.1
510,Alice Springs,0,AU,1584038467,56,-23.7,133.88,71.59999999999997,2.02
511,Olsztyn,40,PL,1584038351,59,53.78,20.49,40.99999999999994,5.7
512,Sivas Province,75,TR,1584038525,65,39.79,37.0,46.39999999999998,7.7
513,Dodge City,1,US,1584038399,41,37.75,-100.02,60.00799999999998,9.3
514,Tsogni,95,GA,1584038527,80,-2.79,10.1,82.57999999999998,1.48
515,Redmond,90,US,1584038315,70,47.67,-122.12,46.00400000000002,1.07
516,Sisimiut,0,GL,1584038284,84,66.94,-53.67,1.579999999999984,1.32
517,Biloela,0,AU,1584038532,71,-24.42,150.5,64.57999999999998,8.54
518,Maiduguri,67,NG,1584038534,13,11.85,13.16,73.57999999999998,4.49
519,Faya,35,SA,1584038536,63,18.39,42.45,64.39999999999992,3.1
520,Clyde River,75,CA,1584038537,68,70.47,-68.59,-16.600000000000023,4.1
521,Tarakan,34,ID,1584038538,84,3.3,117.63,79.16000000000003,1.06
522,São Félix do Xingu,99,BR,1584038539,80,-6.64,-51.99,78.26000000000005,2.16
523,Portland,40,US,1584038285,70,45.52,-122.68,46.99400000000003,1.5
524,Yumen,54,CN,1584038541,41,40.28,97.2,26.420000000000016,5.02
525,Northam,77,GB,1584038542,82,51.03,-4.22,46.99400000000003,7.15
526,Flagstaff,90,US,1584038544,81,35.2,-111.65,57.00200000000001,6.2
527,Obo,29,CF,1584038545,69,5.4,26.49,74.12000000000006,1.54
528,Pachino,0,IT,1584038546,66,36.72,15.09,57.00200000000001,1.0
529,Philadelphia,90,US,1584038273,66,39.95,-75.16,58.99999999999994,3.6
530,Kamiiso,94,JP,1584038361,88,41.82,140.65,38.48000000000002,8.97
531,Hofn,96,IS,1584038549,74,64.25,-15.21,30.739999999999952,10.41
532,Ponta Delgada,75,PT,1584038550,82,37.73,-25.67,60.80000000000001,4.1
533,Goianira,40,BR,1584038552,52,-16.5,-49.43,87.80000000000001,3.6
534,Schalksmühle,50,DE,1584038554,81,51.23,7.53,48.99199999999996,5.7
535,Tommot,42,RU,1584038555,85,58.96,126.29,-18.220000000000027,1.49
536,Ostrovnoy,100,RU,1584038556,95,68.05,39.51,22.639999999999986,0.65
537,Mglin,100,RU,1584038557,71,53.06,32.85,48.73999999999995,9.82
538,Pacific Grove,1,US,1584038558,63,36.62,-121.92,66.9919999999999,5.51
539,Vieques,40,PR,1584038559,51,18.43,-65.83,85.99999999999994,5.1
540,Nicoya,20,CR,1584038561,43,10.15,-85.45,91.39999999999992,9.3
541,Waitati,4,NZ,1584038562,82,-45.75,170.57,53.99600000000004,2.11
542,Charters Towers,31,AU,1584038563,80,-20.1,146.27,70.33999999999997,6.81
543,Ankang,100,CN,1584038344,81,32.68,109.02,53.00600000000003,3.13
544,Baiyin,40,CN,1584038565,54,36.56,104.21,28.399999999999977,3.0
545,Golden,75,US,1584038566,60,39.76,-105.22,51.00799999999998,4.1
546,Kostolac,28,RS,1584038567,37,44.71,21.17,67.99999999999994,6.2
547,Zhalantun,0,CN,1584038570,65,48.0,122.72,-0.39999999999997726,3.77
548,Magalia,5,US,1584038288,39,39.81,-121.58,69.80000000000001,5.1
549,Flin Flon,40,CA,1584038572,66,54.77,-101.86,12.199999999999932,7.2
550,San Fernando,40,PH,1584038573,78,15.03,120.69,80.59999999999997,1.0
551,Neuquén,100,AR,1584038574,27,-38.95,-68.06,85.99999999999994,2.6
552,Novaya Malykla,82,RU,1584038575,95,54.2,49.95,37.94,4.81
553,Iqaluit,20,CA,1584038576,69,63.75,-68.51,-7.006000000000029,1.5
554,Bay Roberts,90,CA,1584038312,92,47.6,-53.26,28.994000000000028,3.6
555,Hvide Sande,43,DK,1584038579,93,56.0,8.13,44.00599999999997,6.2
556,Balagunan,40,PH,1584038580,83,7.49,125.52,76.99999999999994,3.1
557,Illapel,0,CL,1584038581,37,-31.63,-71.17,78.44,5.07
558,‘Ewa Beach,90,US,1584038583,88,21.32,-158.01,73.39999999999992,0.77
559,El Alto,40,PE,1584038584,100,-4.27,-81.21,62.599999999999966,5.7
560,Velikiy Ustyug,96,RU,1584038586,94,60.76,46.31,34.160000000000025,5.11
561,Kjøllefjord,90,NO,1584038587,92,70.95,27.35,24.799999999999955,10.3
562,Abéché,96,TD,1584038588,10,13.83,20.83,72.68,6.83
563,Bariloche,20,AR,1584038589,28,-41.15,-71.31,71.59999999999997,11.3
564,Wilmington,1,US,1584038460,68,34.23,-77.94,80.00600000000003,3.6
565,Tabas,5,IR,1584038591,13,33.6,56.92,60.80000000000001,2.1
566,Kasempa,100,ZM,1584038592,91,-13.46,25.83,67.28000000000003,2.35
567,Moussoro,92,TD,1584038593,9,13.64,16.49,74.30000000000001,5.9
568,Topolobampo,90,MX,1584038595,54,25.6,-109.05,84.9919999999999,4.1
569,Koundara,0,GN,1584038596,5,12.48,-13.3,104.89999999999992,2.31
570,Havøysund,75,NO,1584038597,85,71.0,24.66,24.799999999999955,17.0
571,Vila Velha,40,BR,1584038590,83,-20.33,-40.29,80.59999999999997,6.2
572,Acapulco de Juárez,20,MX,1584038421,70,16.86,-99.89,85.99999999999994,1.5
573,Shimoda,0,JP,1584038590,81,34.67,138.95,44.00599999999997,0.45
574,Ca Mau,0,VN,1584038603,93,9.18,105.15,75.56,1.45
575,Bereda,75,ES,1584038602,71,43.27,-7.54,53.00600000000003,4.1
576,Taoudenni,0,ML,1584038605,6,22.68,-3.98,84.02000000000004,3.17
577,Ulladulla,36,AU,1584038606,93,-35.35,150.47,55.39999999999992,3.13
578,Fortuna,20,US,1584038600,81,40.6,-124.16,58.99999999999994,1.5
579,Ukiah,1,US,1584038398,48,39.15,-123.21,71.00600000000003,0.85
580,Pochutla,40,MX,1584038609,58,15.74,-96.47,89.00600000000003,5.1
581,Arecibo,1,PR,1584038611,67,18.47,-66.72,85.99999999999994,3.1
582,Sarangani,17,PH,1584038612,80,5.4,125.46,81.68,11.28
583,Denpasar,20,ID,1584038453,88,-8.65,115.22,82.39999999999992,0.5
584,Cleveland,40,US,1584038615,47,41.5,-81.7,57.00200000000001,3.1
585,Eureka,20,US,1584038605,81,40.8,-124.16,58.99999999999994,1.5
